Temperature,Humidity,Moisture,Soil_Type,Crop_Type,Nitrogen,Phosphorous,Potassium,Fertilizer_Name
26,52,38,Sandy,Maize,37,0,0,Urea
29,52,45,Loamy,Sugarcane,12,0,36,DAP
34,65,62,Black,Cotton,7,9,9,14-35-14
32,62,55,Red,Tobacco,37,0,0,Urea
28,54,45,Clayey,Paddy,12,0,36,DAP
23,53,60,Black,Wheat,7,9,9,14-35-14
30,57,50,Sandy,Maize,37,0,0,Urea
25,60,42,Red,Sugarcane,12,0,36,DAP
27,65,55,Loamy,Cotton,7,9,9,14-35-14
31,58,48,Clayey,Tobacco,37,0,0,Urea
24,52,40,Sandy,Paddy,12,0,36,DAP
33,68,65,Black,Wheat,7,9,9,14-35-14
22,50,38,Red,Maize,37,0,0,Urea
36,70,70,Loamy,Sugarcane,12,0,36,DAP
29,55,52,Clayey,Cotton,7,9,9,14-35-14
26,54,47,Sandy,Tobacco,37,0,0,Urea
28,60,53,Black,Paddy,12,0,36,DAP
31,63,58,Red,Wheat,7,9,9,14-35-14
25,51,39,Loamy,Maize,20,20,0,20-20
30,56,46,Clayey,Sugarcane,20,20,0,20-20
34,66,63,Sandy,Cotton,20,20,0,20-20
23,54,41,Black,Tobacco,20,20,0,20-20
27,58,49,Red,Paddy,20,20,0,20-20
32,61,56,Loamy,Wheat,20,20,0,20-20
29,57,44,Clayey,Maize,28,28,0,28-28
24,53,40,Sandy,Sugarcane,28,28,0,28-28
35,69,67,Black,Cotton,28,28,0,28-28
22,50,37,Red,Tobacco,28,28,0,28-28
30,64,54,Loamy,Paddy,28,28,0,28-28
33,67,62,Clayey,Wheat,28,28,0,28-28
26,53,43,Sandy,Maize,17,17,17,17-17-17
31,59,50,Black,Sugarcane,17,17,17,17-17-17
28,62,57,Red,Cotton,17,17,17,17-17-17
24,51,38,Loamy,Tobacco,17,17,17,17-17-17
29,55,45,Clayey,Paddy,17,17,17,17-17-17
32,64,60,Sandy,Wheat,17,17,17,17-17-17
27,56,47,Black,Maize,0,36,0,Super Phosphate
25,53,42,Red,Sugarcane,0,36,0,Super Phosphate
